Sex,Age,Influencer
Female,19,1
Female,21,1
Female,21,1
Female,23,1
Female,24,1
Female,24,1
Female,25,1
Female,25,1
Female,27,1
Female,29,1
Female,29,1
Female,31,1
Female,31,1
Female,34,1
Female,41,1
Female,47,1
Male,26,1
Male,30,1
Male,30,1
Male,38,1
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
Female,18,0
